city,date,rate
Chennai,2014-01-04,75.71
Chennai,2014-03-01,76.48
Chennai,2014-04-01,75.49
Chennai,2014-04-16,74.6
Chennai,2014-06-07,74.71
Chennai,2014-06-25,74.76
Chennai,2014-07-01,76.93
Chennai,2014-08-01,75.78
Chennai,2014-08-15,73.47
Chennai,2014-08-31,71.55
Chennai,2014-10-01,70.87
Chennai,2014-10-15,69.59
Chennai,2014-11-01,67.01
Chennai,2014-12-01,66.05
Chennai,2014-12-16,63.94
Chennai,2015-01-17,61.38
Chennai,2015-02-04,58.88
Chennai,2015-02-16,59.85
Chennai,2015-03-01,63.31
Chennai,2015-04-02,62.75
Chennai,2015-04-15,61.9
Chennai,2015-05-01,68.08
Chennai,2015-05-16,69.45
Chennai,2015-06-16,70.12
Chennai,2015-07-01,69.84
Chennai,2015-07-01,69.84
Chennai,2015-07-15,67.29
Chennai,2015-08-01,64.77
Chennai,2015-08-15,63.49
Chennai,2015-09-01,61.46
Chennai,2015-11-01,61.02
Chennai,2015-11-16,61.38
Chennai,2015-12-01,60.8
Chennai,2015-12-16,60.28
Chennai,2016-01-01,59.77
Chennai,2016-01-16,59.45
Chennai,2016-02-01,59.42
Chennai,2016-02-17,59.1
Chennai,2016-03-01,56.08
Chennai,2016-03-09,56.07
Chennai,2016-03-17,59.13
Chennai,2016-04-05,61.32
Chennai,2016-04-16,60.58
Chennai,2016-05-01,61.64
Chennai,2016-05-17,62.47
Chennai,2016-06-01,65.04
Chennai,2016-06-16,65.15
Chennai,2016-07-01,64.24
Chennai,2016-07-15,61.92
Chennai,2016-08-01,60.5
Chennai,2016-08-15,59.5
Chennai,2016-09-01,62.88
Chennai,2016-09-15,63.64
Chennai,2016-10-01,64.01
Chennai,2016-10-05,64.12
Chennai,2016-10-15,65.85
Chennai,2016-11-06,67.02
Chennai,2016-11-16,65.3
Chennai,2016-12-01,65.47
Chennai,2016-12-17,68.31
Chennai,2017-01-01,69.96
Chennai,2017-01-16,70.5
Chennai,2017-03-07,74.28
Chennai,2017-04-01,69.17
Chennai,2017-04-16,71.04
Chennai,2017-05-01,71.07
Chennai,2017-05-16,68.17
Chennai,2017-06-01,69.84
Chennai,2017-06-16,68.07
Chennai,2017-06-19,67.19
Chennai,2017-06-20,67.04
Chennai,2017-06-21,67.09
Chennai,2017-06-22,66.93
Chennai,2017-06-23,66.7
Chennai,2017-06-26,66.03
Chennai,2017-06-27,65.89
Chennai,2017-06-28,65.94
Chennai,2017-06-29,65.9
Chennai,2017-06-30,65.78
Chennai,2017-07-03,65.56
Chennai,2017-07-04,65.46
Chennai,2017-07-05,65.5
Chennai,2017-07-06,65.58
Chennai,2017-07-07,65.72
Chennai,2017-07-10,66.29
Chennai,2017-07-11,66.38
Chennai,2017-07-12,66.43
Chennai,2017-07-13,66.36
Chennai,2017-07-14,66.34
Chennai,2017-07-17,66.66
Chennai,2017-07-18,66.67
Chennai,2017-07-19,66.72
Chennai,2017-07-20,66.77
Chennai,2017-07-21,66.75
Chennai,2017-07-24,67.06
Chennai,2017-07-25,67.1
Chennai,2017-07-26,67.06
Chennai,2017-07-27,67.07
Chennai,2017-07-28,67.18
Chennai,2017-07-31,67.78
Chennai,2017-08-01,67.76
Chennai,2017-08-02,67.78
Chennai,2017-08-04,68.34
Chennai,2017-08-07,69.08
Chennai,2017-08-08,69.13
Chennai,2017-08-09,69.2
Chennai,2017-08-10,69.35
Chennai,2017-08-11,69.68
Chennai,2017-08-14,70.44
Chennai,2017-08-16,70.59
Chennai,2017-08-17,70.7
Chennai,2017-08-18,70.76
Chennai,2017-08-21,71.06
Chennai,2017-08-22,71.15
Chennai,2017-08-23,71.26
Chennai,2017-08-24,71.37
Chennai,2017-08-28,71.64
Chennai,2017-08-29,71.62
Chennai,2017-08-30,71.67
Chennai,2017-08-31,71.7
Chennai,2017-09-01,71.78
Chennai,2017-09-04,72.17
Chennai,2017-09-05,72.25
Chennai,2017-09-07,72.34
Chennai,2017-09-08,72.44
Chennai,2017-09-11,72.85
Chennai,2017-09-12,72.95
Chennai,2017-09-13,72.92
Chennai,2017-09-14,72.97
Chennai,2017-09-15,73.01
Chennai,2017-09-19,73.07
Chennai,2017-09-20,73.1
Chennai,2017-09-21,73.07
Chennai,2017-09-22,73.05
Chennai,2017-09-25,72.96
Chennai,2017-09-26,72.99
Chennai,2017-09-27,72.96
Chennai,2017-09-28,73.04
Chennai,2017-09-29,73.15
Chennai,2017-10-03,73.41
Chennai,2017-10-04,70.85
Chennai,2017-10-05,70.81
Chennai,2017-10-06,70.83
Chennai,2017-10-09,70.89
Chennai,2017-10-10,70.93
Chennai,2017-10-11,70.96
Chennai,2017-10-12,70.89
Chennai,2017-10-13,70.9
Chennai,2017-10-16,70.72
Chennai,2017-10-17,70.69
Chennai,2017-10-18,70.73
Chennai,2017-10-24,71.04
Chennai,2017-10-25,71.1
Chennai,2017-10-26,71.14
Chennai,2017-10-30,71.54
Chennai,2017-10-31,71.64
Chennai,2017-11-01,71.65
Chennai,2017-11-02,71.77
Chennai,2017-11-03,71.86
Chennai,2017-11-06,72.31
Chennai,2017-11-07,72.35
Chennai,2017-11-09,72.4
Chennai,2017-11-10,72.48
Chennai,2017-11-13,72.41
Chennai,2017-11-14,72.27
Chennai,2017-11-15,72.22
Chennai,2017-11-16,72.19
Chennai,2017-11-17,72.15
Chennai,2017-11-20,72.12
Chennai,2017-11-21,72.06
Chennai,2017-11-22,72.01
Chennai,2017-11-23,71.96
Chennai,2017-11-24,71.94
Chennai,2017-11-27,71.88
Chennai,2017-11-28,71.78
Chennai,2017-11-29,71.86
Chennai,2017-11-30,71.76
Chennai,2017-12-01,71.74
Chennai,2017-12-05,71.85
Chennai,2017-12-06,71.76
Chennai,2017-12-07,71.75
Chennai,2017-12-08,71.7
Chennai,2017-12-11,71.71
Chennai,2017-12-12,71.6
Chennai,2017-12-13,71.58
Chennai,2017-12-15,71.61
Chennai,2017-12-18,71.79
Chennai,2017-12-19,71.87
Chennai,2017-12-20,71.95
Chennai,2017-12-22,72.03
Chennai,2017-12-26,72.25
Chennai,2017-12-27,72.26
Chennai,2017-12-28,72.36
Chennai,2017-12-29,72.45
Chennai,2018-01-01,72.61
Chennai,2018-01-02,72.53
Chennai,2018-01-03,72.61
Chennai,2018-01-05,72.63
Chennai,2018-01-08,73.08
Chennai,2018-01-09,73.14
Chennai,2018-01-10,73.21
Chennai,2018-01-11,73.25
Chennai,2018-01-12,73.32
Chennai,2018-01-15,73.78
Chennai,2018-01-16,73.87
Chennai,2018-01-17,74.0
Chennai,2018-01-18,74.18
Chennai,2018-01-19,74.33
Chennai,2018-01-22,74.88
Chennai,2018-01-23,75.04
Chennai,2018-01-24,75.09
Chennai,2018-01-25,75.16
Chennai,2018-01-29,75.53
Chennai,2018-01-30,75.61
Chennai,2018-02-01,75.75
Chennai,2018-02-02,75.8
Chennai,2018-02-05,76.02
Chennai,2018-02-06,76.09
Chennai,2018-02-08,76.08
Chennai,2018-02-09,76.06
Chennai,2018-02-12,75.71
Chennai,2018-02-13,75.63
Chennai,2018-02-15,75.47
Chennai,2018-02-16,75.19
Chennai,2018-02-19,74.56
Chennai,2018-02-20,74.36
Chennai,2018-02-21,74.35
Chennai,2018-02-22,74.33
Chennai,2018-02-23,74.23
Chennai,2018-02-26,74.15
Chennai,2018-02-27,74.13
Chennai,2018-03-01,74.26
Chennai,2018-03-02,74.45
Chennai,2018-03-05,75.05
Chennai,2018-03-06,75.13
Chennai,2018-03-09,75.17
Chennai,2018-03-12,75.19
Chennai,2018-03-13,75.21
Chennai,2018-03-15,75.19
Chennai,2018-03-16,75.11
Chennai,2018-03-19,74.92
Chennai,2018-03-20,74.93
Chennai,2018-03-22,74.99
Chennai,2018-03-23,75.03
Chennai,2018-03-26,75.55
Chennai,2018-03-27,75.66
Chennai,2018-03-29,75.85
Chennai,2018-03-30,76.1
Chennai,2018-04-02,76.62
Chennai,2018-04-03,76.76
Chennai,2018-04-05,76.79
Chennai,2018-04-09,76.8
Chennai,2018-04-10,76.79
Chennai,2018-04-12,76.75
Chennai,2018-04-13,76.71
Chennai,2018-04-16,76.83
Chennai,2018-04-19,76.88
Chennai,2018-04-20,76.89
Chennai,2018-04-23,77.34
Chennai,2018-04-24,77.47
Chennai,2018-05-14,77.65
Chennai,2018-05-15,77.81
Chennai,2018-05-16,77.97
Chennai,2018-05-17,78.2
Chennai,2018-05-18,77.65
Chennai,2018-05-21,79.51
Chennai,2018-05-22,79.83
Chennai,2018-05-23,80.15
Chennai,2018-05-24,80.46
Chennai,2018-05-25,80.84
Chennai,2018-05-26,80.99
Chennai,2018-05-27,81.15
Chennai,2018-05-28,81.3
Chennai,2018-05-29,81.47
Chennai,2018-05-31,81.39
Chennai,2018-06-01,81.32
Chennai,2018-06-02,81.23
Chennai,2018-06-03,81.14
Chennai,2018-06-04,80.98
Chennai,2018-06-05,80.84
Chennai,2018-06-06,80.72
Chennai,2018-06-07,80.63
Chennai,2018-06-08,80.41
Chennai,2018-06-09,79.99
Chennai,2018-06-10,79.74
Chennai,2018-06-11,79.52
Chennai,2018-06-12,79.37
Chennai,2018-06-15,79.28
Chennai,2018-06-19,79.2
Chennai,2018-06-21,79.08
Chennai,2018-06-22,78.94
Chennai,2018-06-23,78.84
Chennai,2018-06-24,78.69
Chennai,2018-06-25,78.59
Chennai,2018-06-26,78.44
Chennai,2018-07-05,78.61
Chennai,2018-07-06,78.76
Chennai,2018-07-09,79.29
Chennai,2018-07-10,79.47
Chennai,2018-07-12,79.54
Chennai,2018-07-13,79.71
Chennai,2018-07-16,79.8
Chennai,2018-07-20,79.63
Chennai,2018-07-23,79.29
Chennai,2018-07-24,79.22
Chennai,2018-07-30,79.24
Chennai,2018-07-31,79.31
Chennai,2018-08-02,79.43
Chennai,2018-08-03,79.51
Chennai,2018-08-06,80.0
Chennai,2018-08-07,80.09
Chennai,2018-08-13,80.18
Chennai,2018-08-16,80.23
Chennai,2018-08-20,80.55
Chennai,2018-08-21,80.64
Chennai,2018-08-24,80.74
Chennai,2018-08-25,74.74
Chennai,2018-08-26,74.83
Chennai,2018-08-27,80.99
Chennai,2018-08-28,81.14
Chennai,2018-08-29,81.28
Chennai,2018-08-30,81.4
Chennai,2018-08-31,81.63
Chennai,2018-09-03,82.34
Chennai,2018-09-04,82.51
Chennai,2018-09-06,82.72
Chennai,2018-09-07,83.22
Chennai,2018-09-10,84.0
Chennai,2018-09-11,84.15
Chennai,2018-09-13,84.29
Chennai,2018-09-14,84.58
Chennai,2018-09-15,84.95
Chennai,2018-09-16,85.24
Chennai,2018-09-17,85.4
Chennai,2018-09-18,85.51
Chennai,2018-09-20,85.57
Chennai,2018-09-21,85.68
Chennai,2018-09-23,85.97
Chennai,2018-09-24,86.08
Chennai,2018-09-25,86.23
Chennai,2018-09-27,86.38
Chennai,2018-09-28,86.61
Chennai,2018-09-30,86.89
Chennai,2018-10-01,87.13
Chennai,2018-10-02,87.24
Chennai,2018-10-04,87.39
Chennai,2018-10-05,84.76
Chennai,2018-10-06,84.95
Chennai,2018-10-07,85.09
Chennai,2018-10-08,85.31
Chennai,2018-10-09,85.56
Chennai,2018-10-11,85.66
Chennai,2018-10-12,85.79
Chennai,2018-10-13,85.98
Chennai,2018-10-14,86.04
Chennai,2018-10-16,86.16
Chennai,2018-10-18,85.94
Chennai,2018-10-19,85.68
Chennai,2018-10-20,85.27
Chennai,2018-10-22,84.69
Chennai,2018-10-23,84.59
Chennai,2018-10-24,84.49
Chennai,2018-10-25,84.34
Chennai,2018-10-26,84.07
Chennai,2018-10-29,82.91
Chennai,2018-10-30,82.7
Chennai,2018-11-01,82.51
Chennai,2018-11-02,82.33
Chennai,2018-11-05,81.7
Chennai,2018-11-06,81.55
Chennai,2018-11-12,80.65
Chennai,2018-11-13,80.51
Chennai,2018-11-15,80.35
Chennai,2018-11-16,80.17
Chennai,2018-11-19,79.55
Chennai,2018-11-20,79.41
Chennai,2018-11-22,78.98
Chennai,2018-11-23,78.55
Chennai,2018-11-26,77.42
Chennai,2018-11-27,76.98
Chennai,2018-11-28,76.45
Chennai,2018-11-29,76.1
Chennai,2018-11-30,75.71
Chennai,2018-12-01,75.34
Chennai,2018-12-02,75.01
Chennai,2018-12-03,74.68
Chennai,2018-12-04,74.46
Chennai,2018-12-06,74.04
Chennai,2018-12-07,73.62
Chennai,2018-12-10,72.98
Chennai,2018-12-11,72.81
Chennai,2018-12-13,72.9
Chennai,2018-12-17,73.15
Chennai,2018-12-18,73.26
Chennai,2018-12-21,73.08
Chennai,2018-12-24,72.45
Chennai,2018-12-25,72.38
Chennai,2018-12-27,72.32
Chennai,2018-12-28,72.12
Chennai,2018-12-31,71.38
Chennai,2019-01-02,71.27
Chennai,2019-01-04,71.05
Chennai,2019-01-07,71.11
Chennai,2019-01-10,71.51
Chennai,2019-01-11,71.71
Chennai,2019-01-14,72.83
Chennai,2019-01-16,73.04
Chennai,2019-01-17,73.19
Chennai,2019-01-18,73.27
Chennai,2019-01-21,73.89
Chennai,2019-01-22,74.03
Chennai,2019-01-29,73.94
Chennai,2019-01-31,73.84
Chennai,2019-02-01,73.59
Chennai,2019-02-05,73.06
Chennai,2019-02-08,73.0
Chennai,2019-02-11,72.94
Chennai,2019-02-14,73.01
Chennai,2019-02-15,73.08
Chennai,2019-02-18,73.55
Chennai,2019-02-19,73.66
Chennai,2019-02-22,73.97
Chennai,2019-02-25,74.26
Chennai,2019-02-26,74.36
Chennai,2019-02-28,74.43
Chennai,2019-03-01,74.54
Chennai,2019-03-04,74.92
Chennai,2019-03-05,74.99
Chennai,2019-03-11,75.23
Chennai,2019-03-12,75.17
Chennai,2019-03-14,75.25
Chennai,2019-03-15,75.32
Chennai,2019-03-18,75.56
Chennai,2019-03-21,75.49
Chennai,2019-03-22,75.54
Chennai,2019-03-23,75.59
Chennai,2019-03-24,75.65
Chennai,2019-03-28,75.59
Chennai,2019-04-01,75.67
Chennai,2019-04-05,75.73
Chennai,2019-04-08,75.66
Chennai,2019-04-09,75.61
Chennai,2019-04-12,75.67
Chennai,2019-04-15,75.8
Chennai,2019-04-16,75.75
Chennai,2019-04-20,75.82
Chennai,2019-04-22,75.77
Chennai,2019-04-25,75.84
Chennai,2019-04-27,75.91
Chennai,2019-04-30,75.96
Chennai,2019-05-02,75.89
Chennai,2019-05-04,75.9
Chennai,2019-05-05,75.84
Chennai,2019-05-06,75.77
Chennai,2019-05-09,75.6
Chennai,2019-05-10,75.38
Chennai,2019-05-11,74.87
Chennai,2019-05-12,74.43
Chennai,2019-05-13,74.11
Chennai,2019-05-14,73.85
Chennai,2019-05-17,73.77
Chennai,2019-05-18,73.69
Chennai,2019-05-20,73.79
Chennai,2019-05-21,73.84
Chennai,2019-05-23,73.92
Chennai,2019-05-24,74.07
Chennai,2019-05-25,74.22
Chennai,2019-05-26,74.37
Chennai,2019-05-27,74.47
Chennai,2019-05-28,74.57
Chennai,2019-05-30,74.5
Chennai,2019-05-31,74.43
Chennai,2019-06-01,74.39
Chennai,2019-06-02,74.27
Chennai,2019-06-03,74.05
Chennai,2019-06-04,73.98
Chennai,2019-06-06,73.81
Chennai,2019-06-07,73.68
Chennai,2019-06-10,73.14
Chennai,2019-06-13,73.05
Chennai,2019-06-14,72.88
Chennai,2019-06-15,72.68
Chennai,2019-06-16,72.61
Chennai,2019-06-24,72.74
Chennai,2019-06-27,72.81
Chennai,2019-06-28,72.87
Chennai,2019-06-29,72.98
Chennai,2019-06-30,73.08
Chennai,2019-07-01,73.18
Chennai,2019-07-02,73.24
Chennai,2019-07-06,75.81
Chennai,2019-07-09,75.76
Chennai,2019-07-13,75.85
Chennai,2019-07-14,75.95
Chennai,2019-07-15,76.08
Chennai,2019-07-16,76.15
Chennai,2019-07-18,76.23
Chennai,2019-07-23,76.29
Chennai,2019-07-25,76.23
Chennai,2019-07-26,76.17
Chennai,2019-07-27,76.11
Chennai,2019-07-28,76.01
Chennai,2019-07-29,75.85
Chennai,2019-07-30,75.71
Chennai,2019-08-01,75.65
Chennai,2019-08-02,75.48
Chennai,2019-08-03,75.41
Chennai,2019-08-04,75.3
Chennai,2019-08-05,75.14
Chennai,2019-08-06,75.05
Chennai,2019-08-08,75.0
Chennai,2019-08-09,74.84
Chennai,2019-08-11,74.74
Chennai,2019-08-18,74.66
Chennai,2019-08-19,74.59
Chennai,2019-08-24,74.67
Chennai,2019-08-25,74.74
Chennai,2019-08-26,74.83
Chennai,2019-08-29,74.77
Chennai,2019-09-05,74.74
Chennai,2019-09-06,74.64
Chennai,2019-09-07,74.55
Chennai,2019-09-08,74.48
Chennai,2019-09-10,74.54
Chennai,2019-09-12,74.6
Chennai,2019-09-13,74.67
Chennai,2019-09-14,74.76
Chennai,2019-09-15,74.82
Chennai,2019-09-17,74.97
Chennai,2019-09-18,75.23
Chennai,2019-09-19,75.54
Chennai,2019-09-20,75.9
Chennai,2019-09-21,76.21
Chennai,2019-09-22,76.49
Chennai,2019-09-23,76.8
Chennai,2019-09-24,77.03
Chennai,2019-09-26,77.09
Chennai,2019-09-27,77.25
Chennai,2019-09-30,77.34
Chennai,2019-10-01,77.56
Chennai,2019-10-03,77.46
Chennai,2019-10-04,77.27
Chennai,2019-10-05,76.96
Chennai,2019-10-07,76.67
Chennai,2019-10-08,76.49
Chennai,2019-10-10,76.44
Chennai,2019-10-11,76.31
Chennai,2019-10-12,76.21
Chennai,2019-10-15,76.16
Chennai,2019-10-19,76.15
Chennai,2019-10-22,76.1
Chennai,2019-10-24,76.05
Chennai,2019-10-25,75.93
Chennai,2019-10-26,75.85
Chennai,2019-10-29,75.78
Chennai,2019-11-01,75.78
Chennai,2019-11-01,75.66
Chennai,2019-11-02,75.58
Chennai,2019-11-03,75.53
Chennai,2019-11-04,75.44
Chennai,2019-11-05,75.39
Chennai,2019-11-08,75.49
Chennai,2019-11-09,75.65
Chennai,2019-11-10,75.86
Chennai,2019-11-11,76.02
Chennai,2019-11-13,76.12
Chennai,2019-11-14,76.28
Chennai,2019-11-15,76.47
Chennai,2019-11-16,76.62
Chennai,2019-11-17,76.74
Chennai,2019-11-18,76.91
Chennai,2019-11-19,77.07
Chennai,2019-11-22,77.23
Chennai,2019-11-23,77.32
Chennai,2019-11-24,77.43
Chennai,2019-11-25,77.56
Chennai,2019-11-26,77.66
Chennai,2019-11-29,77.71
Chennai,2019-11-30,77.763
Chennai,2019-12-01,77.89
