Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
CHANDIGARH,38.0,24.0,28.0,78.0,113.0,111.0,112.0,90.0,41.0,56.0,180.0,180.0,175.0,168.0,170.0,145.0,48.0,229.0,23.0,20.0,30.0,47.0
DELHI,32.0,24.0,28.0,70.0,107.0,115.0,100.0,92.0,41.0,50.0,195.0,174.0,169.0,153.0,201.0,137.0,57.0,233.0,24.0,28.0,30.0,33.0
HISAR,30.0,23.0,26.0,65.0,90.0,90.0,95.0,90.0,39.0,55.0,180.0,145.0,140.0,145.0,170.0,130.0,42.0,240.0,23.0,22.0,20.0,28.0
KARNAL,,,,,,,,,,,,,,,,,,,,,,
PANCHKULA,32.0,26.0,30.0,66.0,96.0,94.0,96.0,87.0,,,215.0,193.0,182.0,191.0,209.0,171.0,,,,,,
GURGAON,,,,,,,,,,,,,,,,,,,,,,
SHIMLA,36.0,,30.0,69.0,102.0,100.0,95.0,92.0,44.0,50.0,194.0,189.0,167.0,158.0,,,43.0,267.0,25.0,35.0,30.0,30.0
MANDI,34.0,,28.0,69.0,104.0,100.0,99.0,100.0,42.0,42.0,183.0,181.0,152.0,151.0,191.0,154.0,40.0,262.0,25.0,32.0,31.0,36.0
DHARAMSHALA,26.0,,27.0,68.0,109.0,100.0,95.0,95.0,43.0,40.0,,180.0,170.0,170.0,,,43.0,275.0,25.0,25.0,30.0,40.0
SOLAN,34.0,27.0,28.0,68.0,104.0,106.0,97.0,100.0,41.0,43.0,178.0,168.0,172.0,160.0,180.0,,42.0,252.0,24.0,30.0,27.0,22.0
UNA,36.0,,26.0,69.0,106.0,96.0,94.0,97.0,40.0,55.0,,169.0,161.0,162.0,,,44.0,229.0,24.0,29.0,31.0,41.0
BILASPUR-HP,42.0,,26.0,64.0,103.0,104.0,97.0,92.0,40.0,52.0,,178.0,159.0,149.0,,,41.0,326.0,24.0,29.0,25.0,30.0
CHAMBA,25.0,,27.0,65.0,120.0,98.0,92.0,90.0,44.0,55.0,,180.0,150.0,143.0,158.0,135.0,41.0,277.0,24.0,25.0,25.0,40.0
HAMIRPUR,31.0,,26.0,64.0,98.0,105.0,86.0,94.0,42.0,60.0,,182.0,162.0,,,,44.0,254.0,24.0,26.0,28.0,37.0
SRINAGAR,,,,,,,,,,,,,,,,,,,,,,
JAMMU,37.0,25.0,29.0,70.0,110.0,120.0,110.0,103.0,46.0,50.0,,188.0,172.0,162.0,188.0,137.0,49.0,297.0,24.0,30.0,25.0,40.0
POONCH,36.0,25.0,35.0,75.0,120.0,115.0,100.0,100.0,46.0,64.0,,212.0,187.0,170.0,183.0,170.0,47.0,303.0,16.0,27.0,30.0,47.0
KUPWARA,35.0,27.0,29.0,83.0,118.0,113.0,107.0,103.0,52.0,49.0,,188.0,172.0,175.0,187.0,147.0,46.0,417.0,24.0,26.0,23.0,32.0
AMRITSAR,40.0,24.0,28.0,85.0,135.0,115.0,132.0,128.0,39.0,50.0,210.0,200.0,190.0,195.0,215.0,,52.0,250.0,22.0,28.0,30.0,35.0
LUDHIANA,35.0,22.0,27.0,73.0,108.0,115.0,103.0,100.0,40.0,51.0,192.0,167.0,147.0,153.0,197.0,,50.0,320.0,29.0,22.0,27.0,33.0
BATHINDA,35.0,22.0,25.0,72.0,107.0,117.0,103.0,103.0,41.0,51.0,200.0,170.0,153.0,147.0,200.0,125.0,50.0,283.0,23.0,26.0,28.0,45.0
LUCKNOW,31.0,24.0,27.0,74.0,108.0,110.0,98.0,94.0,41.0,59.0,232.0,193.0,184.0,178.0,197.0,177.0,55.0,290.0,20.0,26.0,26.0,35.0
KANPUR,32.0,21.0,25.0,66.0,96.0,115.0,85.0,89.0,39.0,56.0,195.0,170.0,165.0,162.0,175.0,150.0,45.0,235.0,24.0,20.0,30.0,40.0
VARANASI,34.0,28.0,32.0,74.0,109.0,104.0,102.0,91.0,48.0,65.0,208.0,178.0,178.0,179.0,199.0,171.0,57.0,249.0,25.0,22.0,27.0,31.0
AGRA,35.0,25.0,27.0,75.0,105.0,100.0,98.0,100.0,40.0,59.0,190.0,162.0,155.0,166.0,162.0,150.0,40.0,350.0,22.0,22.0,20.0,40.0
JHANSI,32.0,22.0,26.0,70.0,97.0,91.0,91.0,90.0,43.0,51.0,179.0,167.0,161.0,159.0,181.0,149.0,41.0,240.0,21.0,19.0,19.0,34.0
MEERUT,36.0,26.0,27.0,76.0,112.0,116.0,111.0,99.0,39.0,57.0,190.0,165.0,156.0,165.0,186.0,134.0,46.0,330.0,21.0,20.0,17.0,24.0
ALLAHABAD,30.0,27.0,30.0,65.0,103.0,106.0,103.0,84.0,44.0,57.0,185.0,160.0,159.0,147.0,176.0,126.0,47.0,256.0,20.0,29.0,28.0,38.0
GORAKHPUR,26.0,22.0,27.0,64.0,97.0,99.0,105.0,89.0,41.0,54.0,197.0,164.0,154.0,162.0,184.0,134.0,47.0,189.0,22.0,24.0,25.0,39.0
SAHARANPUR,30.0,25.0,25.0,81.0,110.0,105.0,105.0,99.0,41.0,61.0,183.0,192.0,166.0,158.0,191.0,134.0,43.0,317.0,22.0,20.0,26.0,26.0
BAREILLY,29.0,23.0,30.0,75.0,110.0,117.0,107.0,113.0,39.0,57.0,193.0,165.0,163.0,153.0,190.0,137.0,42.0,377.0,22.0,27.0,22.0,37.0
AYODHYA,29.0,24.0,27.0,69.0,98.0,90.0,93.0,93.0,41.0,55.0,182.0,175.0,127.0,152.0,167.0,122.0,42.0,215.0,25.0,22.0,22.0,32.0
MORADABAD,27.0,22.0,26.0,66.0,100.0,105.0,96.0,95.0,41.0,59.0,184.0,160.0,140.0,147.0,188.0,137.0,45.0,256.0,22.0,22.0,22.0,30.0
ALIGARH,32.0,22.0,26.0,75.0,110.0,110.0,100.0,110.0,39.0,56.0,172.0,176.0,152.0,172.0,190.0,133.0,42.0,240.0,24.0,21.0,16.0,40.0
MIRZAPUR (VINDHYANCHAL),34.0,25.0,26.0,68.0,88.0,86.0,87.0,78.0,41.0,45.0,188.0,158.0,157.0,154.0,176.0,140.0,46.0,231.0,22.0,19.0,18.0,54.0
BANDA,38.0,26.0,28.0,70.0,100.0,100.0,95.0,90.0,40.0,58.0,190.0,180.0,165.0,165.0,185.0,140.0,51.0,242.0,23.0,18.0,13.0,33.0
AZAMGARH,30.0,24.0,28.0,70.0,100.0,94.0,92.0,92.0,42.0,57.0,180.0,180.0,168.0,161.0,165.0,160.0,46.0,320.0,22.0,24.0,24.0,40.0
GONDA (DEVIPATAN),,,,,,,,,,,,,,,,,,,,,,
DEHRADUN,27.0,26.0,28.0,69.0,107.0,110.0,105.0,90.0,45.0,58.0,189.0,172.0,175.0,173.0,192.0,,42.0,280.0,25.0,26.0,26.0,30.0
HALDWANI,34.0,29.0,33.0,120.0,115.0,120.0,118.0,110.0,41.0,49.0,178.0,176.0,170.0,179.0,180.0,145.0,50.0,255.0,25.0,35.0,35.0,50.0
RUDRAPUR,31.0,22.0,28.0,70.0,108.0,109.0,110.0,107.0,40.0,61.0,190.0,161.0,167.0,152.0,168.0,130.0,50.0,207.0,24.0,24.0,24.0,30.0
HARIDWAR,32.0,23.0,30.0,90.0,105.0,101.0,104.0,90.0,43.0,62.0,179.0,176.0,158.0,154.0,175.0,,46.0,284.0,23.0,22.0,25.0,34.0
RAIPUR,35.0,33.0,32.0,61.0,94.0,89.0,92.0,91.0,44.0,50.0,190.0,168.0,139.0,150.0,178.0,152.0,54.0,305.0,18.0,26.0,28.0,26.0
DURG,27.0,31.0,35.0,67.0,102.0,93.0,97.0,91.0,42.0,56.0,189.0,162.0,132.0,149.0,183.0,142.0,47.0,270.0,9.0,21.0,19.0,20.0
AMBIKAPUR,26.0,19.0,24.0,80.0,100.0,100.0,101.0,92.0,42.0,45.0,175.0,180.0,160.0,162.0,163.0,140.0,38.0,260.0,15.0,20.0,20.0,26.0
BILASPUR-CG,40.0,31.0,34.0,75.0,103.0,101.0,105.0,98.0,40.0,44.0,195.0,179.0,158.0,160.0,175.0,155.0,43.0,290.0,19.0,25.0,21.0,27.0
JAGDALPUR,28.0,28.0,36.0,65.0,71.0,91.0,92.0,87.0,39.0,68.0,164.0,168.0,124.0,157.0,169.0,139.0,46.0,309.0,21.0,21.0,24.0,23.0
DANTEWADA,40.0,38.0,36.0,78.0,99.0,98.0,99.0,88.0,39.0,67.0,223.0,189.0,177.0,148.0,202.0,158.0,51.0,501.0,25.0,28.0,28.0,28.0
PANAJI,39.0,38.0,32.0,78.0,112.0,117.0,117.0,102.0,39.0,52.0,205.0,182.0,192.0,172.0,185.0,132.0,55.0,307.0,23.0,32.0,28.0,32.0
AHMEDABAD,35.0,37.0,33.0,62.0,94.0,93.0,87.0,93.0,35.0,56.0,186.0,175.0,120.0,187.0,185.0,160.0,48.0,245.0,15.0,25.0,24.0,37.0
RAJKOT,36.0,32.0,35.0,63.0,113.0,89.0,88.0,93.0,40.0,54.0,182.0,167.0,166.0,162.0,169.0,147.0,51.0,307.0,17.0,25.0,24.0,48.0
SURAT,32.0,28.0,27.0,68.0,104.0,104.0,91.0,94.0,39.0,54.0,154.0,157.0,92.0,124.0,139.0,104.0,47.0,338.0,16.0,35.0,32.0,38.0
BHUJ,28.0,32.0,32.0,75.0,122.0,115.0,92.0,102.0,47.0,52.0,195.0,187.0,168.0,193.0,190.0,187.0,55.0,292.0,18.0,20.0,28.0,30.0
SELAMBA,47.0,33.0,37.0,74.0,102.0,107.0,107.0,103.0,38.0,57.0,177.0,167.0,150.0,150.0,185.0,140.0,43.0,343.0,14.0,29.0,19.0,40.0
WAGHAI,25.0,30.0,31.0,55.0,88.0,91.0,94.0,91.0,39.0,47.0,181.0,188.0,164.0,168.0,194.0,155.0,40.0,450.0,9.0,17.0,18.0,
BODELI,35.0,29.0,30.0,66.0,107.0,88.0,85.0,90.0,40.0,54.0,193.0,193.0,181.0,176.0,183.0,174.0,42.0,287.0,13.0,26.0,25.0,42.0
VAPI,35.0,28.0,35.0,85.0,110.0,110.0,120.0,80.0,39.0,60.0,167.0,157.0,153.0,163.0,167.0,133.0,49.0,260.0,10.0,22.0,28.0,33.0
BHOPAL,30.0,29.0,32.0,65.0,95.0,97.0,96.0,93.0,41.0,54.0,171.0,198.0,165.0,140.0,163.0,103.0,44.0,233.0,15.0,25.0,15.0,43.0
INDORE,37.0,26.0,30.0,68.0,98.0,97.0,94.0,94.0,41.0,56.0,173.0,187.0,146.0,149.0,159.0,128.0,45.0,260.0,17.0,21.0,17.0,35.0
GWALIOR,,,,,,,,,,,,,,,,,,,,,,
JABALPUR,36.0,26.0,32.0,71.0,96.0,95.0,95.0,85.0,42.0,57.0,168.0,152.0,130.0,150.0,164.0,98.0,38.0,284.0,16.0,15.0,14.0,30.0
REWA,37.0,20.0,41.0,83.0,102.0,73.0,111.0,85.0,41.0,45.0,180.0,166.0,128.0,156.0,144.0,,43.0,387.0,15.0,15.0,27.0,43.0
SAGAR,45.0,24.0,27.0,61.0,96.0,94.0,95.0,91.0,38.0,65.0,171.0,173.0,137.0,155.0,164.0,130.0,36.0,268.0,19.0,14.0,11.0,23.0
JHABUA,31.0,29.0,30.0,71.0,110.0,100.0,100.0,100.0,42.0,54.0,193.0,172.0,173.0,169.0,210.0,,50.0,285.0,24.0,28.0,21.0,49.0
HOSHANGABAD,33.0,27.0,28.0,66.0,91.0,88.0,85.0,68.0,39.0,56.0,201.0,172.0,138.0,158.0,168.0,145.0,38.0,325.0,10.0,30.0,25.0,25.0
SHAHDOL,25.0,29.0,25.0,62.0,95.0,79.0,78.0,92.0,40.0,74.0,182.0,155.0,120.0,140.0,195.0,,44.0,180.0,25.0,25.0,20.0,20.0
UJJAIN,28.0,30.0,26.0,61.0,93.0,100.0,91.0,102.0,38.0,55.0,168.0,176.0,190.0,146.0,196.0,115.0,41.0,223.0,23.0,28.0,24.0,42.0
MORENA,30.0,22.0,26.0,65.0,100.0,90.0,85.0,85.0,40.0,55.0,180.0,190.0,125.0,130.0,140.0,120.0,35.0,235.0,20.0,20.0,15.0,33.0
MUMBAI,34.0,40.0,54.0,78.0,116.0,119.0,120.0,102.0,41.0,50.0,202.0,187.0,194.0,173.0,187.0,151.0,66.0,315.0,25.0,36.0,23.0,28.0
NAGPUR,39.0,29.0,39.0,72.0,105.0,108.0,103.0,114.0,40.0,50.0,187.0,204.0,182.0,172.0,208.0,157.0,52.0,273.0,25.0,29.0,23.0,29.0
PUNE,53.0,34.0,45.0,73.0,124.0,117.0,116.0,89.0,41.0,52.0,207.0,160.0,143.0,150.0,168.0,140.0,37.0,266.0,22.0,25.0,15.0,22.0
NASHIK,32.0,34.0,33.0,72.0,103.0,102.0,101.0,99.0,38.0,50.0,179.0,217.0,177.0,142.0,181.0,144.0,52.0,303.0,24.0,27.0,22.0,43.0
MANGAON-RAIGAD,28.0,33.0,48.0,72.0,104.0,114.0,98.0,106.0,41.0,58.0,178.0,179.0,164.0,152.0,173.0,138.0,53.0,302.0,20.0,29.0,28.0,45.0
DHARNI,32.0,30.0,30.0,70.0,103.0,104.0,95.0,94.0,40.0,40.0,185.0,188.0,177.0,140.0,174.0,,34.0,300.0,8.0,20.0,25.0,40.0
LATUR,52.0,31.0,31.0,64.0,100.0,105.0,98.0,98.0,36.0,58.0,183.0,163.0,134.0,130.0,166.0,128.0,33.0,157.0,25.0,29.0,18.0,27.0
JAIPUR,39.0,27.0,28.0,66.0,107.0,98.0,90.0,90.0,41.0,46.0,209.0,175.0,140.0,155.0,203.0,,40.0,270.0,17.0,22.0,25.0,30.0
JODHPUR,36.0,30.0,32.0,70.0,100.0,100.0,90.0,95.0,,,190.0,200.0,,,180.0,,,,,35.0,25.0,50.0
KOTA,34.0,25.0,28.0,92.0,85.0,84.0,90.0,86.0,42.0,48.0,196.0,183.0,161.0,175.0,175.0,,47.0,231.0,21.0,27.0,21.0,47.0
UDAIPUR,28.0,28.0,29.0,78.0,103.0,98.0,96.0,92.0,40.0,42.0,192.0,191.0,127.0,192.0,,120.0,58.0,247.0,22.0,20.0,20.0,40.0
BHARATPUR,31.0,25.0,30.0,72.0,105.0,115.0,100.0,95.0,40.0,58.0,190.0,155.0,150.0,150.0,,,42.0,290.0,22.0,24.0,24.0,37.0
AJMER,45.0,34.0,39.0,79.0,95.0,100.0,90.0,90.0,44.0,51.0,193.0,195.0,187.0,179.0,185.0,184.0,43.0,305.0,19.0,21.0,20.0,42.0
BIKANER,44.0,40.0,41.0,75.0,124.0,116.0,114.0,114.0,44.0,45.0,184.0,181.0,152.0,182.0,229.0,156.0,47.0,268.0,24.0,33.0,37.0,50.0
PATNA,37.0,22.0,30.0,72.0,102.0,100.0,98.0,93.0,43.0,50.0,,160.0,135.0,153.0,190.0,146.0,42.0,290.0,22.0,24.0,25.0,60.0
BHAGALPUR,33.0,25.0,32.0,68.0,102.0,98.0,102.0,88.0,44.0,52.0,,168.0,166.0,168.0,204.0,154.0,48.0,288.0,14.0,24.0,24.0,45.0
PURNIA,33.0,26.0,30.0,66.0,102.0,99.0,94.0,88.0,43.0,49.0,,159.0,142.0,146.0,,129.0,43.0,324.0,13.0,22.0,22.0,59.0
DARBHANGA,42.0,26.0,30.0,73.0,92.0,97.0,96.0,90.0,45.0,46.0,,152.0,153.0,142.0,,120.0,38.0,195.0,15.0,18.0,19.0,45.0
GAYA,34.0,24.0,29.0,75.0,104.0,105.0,100.0,96.0,42.0,45.0,,193.0,144.0,175.0,188.0,131.0,42.0,360.0,20.0,16.0,20.0,33.0
MUZZAFARPUR,35.0,23.0,29.0,73.0,106.0,108.0,103.0,97.0,41.0,51.0,,155.0,169.0,151.0,221.0,125.0,53.0,317.0,23.0,21.0,22.0,43.0
SARAN,38.0,22.0,27.0,69.0,105.0,97.0,99.0,89.0,43.0,56.0,,159.0,168.0,154.0,,129.0,47.0,232.0,23.0,22.0,30.0,47.0
